Site Name,Avg Monthly Traffic (Aug-Oct 23),Avg 1 Day Price,Avg 7 Day Price,Avg 30 Day Price,0.7% Conversion ($),4.0% Conversion ($),Estimated Yearly 0.7% ($),Estimated Yearly 4.0% ($)
Chod's Cheats ,46857,7.58,17.05,42.08,13802.19792,78869.7024,165626.375,946436.4288
Midnight.im,326797,,,5.63,12879.06977,73594.6844,154548.8372,883136.2128
EliteHacks,59814,4,13,29,12142.242,69384.24,145706.904,832610.88
MadChad,26820,9.99,26,63.8,11977.812,68444.64,143733.744,821335.68
Systemcheats ,61489,,,27.43,11806.50289,67465.7308,141678.0347,809588.7696
Elusion ,8429,6.25,43.8,187.71,11075.45313,63288.3036,132905.4376,759459.6432
Cheat Army,25048,8.33,31.25,59.41,10416.71176,59524.0672,125000.5411,714288.8064
Golden Cheats,36643,6,17,39,10003.539,57163.08,120042.468,685956.96
Proof Core ,28363,,23.99,49.99,9925.06459,56714.6548,119100.7751,680575.8576
Eshop bear,16929,,38.5,80,9480.24,54172.8,113762.88,650073.6
Kernaim,87556,,23.75,46.25,7223.51,41277.2,86682.12,495326.4
Rise Client,36120,,,30.35,7673.694,43849.68,92084.328,526196.16
ProCheat,27291,3.37,11.22,39.32,7511.57484,42923.2848,90138.89808,515079.4176
GCAIMX,15744,6,,63.33,6979.47264,39882.7008,83753.67168,478592.4096
Cheat Seller,16275,8.83,31,60.75,6920.94375,39548.25,83051.325,474579
Milex Cheats,22312,4.85,23.17,41.25,6442.59,36814.8,77311.08,441777.6
Wall Hax ,61381,4.71,,14.52,6238.76484,35650.0848,74865.17808,427801.0176
Slatehub ,5684,18,69.5,133,5291.804,30238.88,63501.648,362866.56
Cheat Service,11245,9.9,29.99,62,4880.33,27887.6,58563.96,334651.2
MemeSense,137631,,,5.04,4855.62168,27746.4096,58267.46016,332956.9152
CS Macros **,46015,,,15,4831.575,27609,57978.9,331308
Zaptine,7481,11,35,90,4713.03,26931.6,56556.36,323179.2
Aim Sharp,11355,11,28.5,58,4610.13,26343.6,55321.56,316123.2
Perfect Aim ,28932,,,19.99,4048.45476,23134.0272,48581.45712,277608.3264
Ev0lve,14000,,,40,3920,22400,47040,268800
Project Infinity ,37093,,,15,3894.765,22255.8,46737.18,267069.6
Dreamcheat,15484,4.51,9,35,3793.58,21677.6,45522.96,260131.2
Onetap,25341,,,20,3547.74,20272.8,42572.88,243273.6
PVCheese,8107,9,30,60,3404.94,19456.8,40859.28,233481.6
cado-LoLscript,12267,5,,35,3005.415,17173.8,36064.98,206085.6
Pheonix hack,12607,,16.9,34,3000.466,17145.52,36005.592,205746.24
LoLScript.com,11760,5,,35,2881.2,16464,34574.4,197568
I Like Cheats  ,5000,14.99,44.99,79.99,2799.65,15998,33595.8,191976
Primordial,33203,,,12,2789.052,15937.44,33468.624,191249.28
HexLoL-Script,9122,5,,42.5,2713.795,15507.4,32565.54,186088.8
wadbot,11732,,,32.91,2702.70084,15444.0048,32432.41008,185328.0576
X22 Cheats,19469,,,19.74,2690.22642,15372.7224,32282.71704,184472.6688
Invision Cheats ,8328,9.31,20.81,40,2331.84,13324.8,27982.08,159897.6
Xone,56306,,,5.61,2211.13662,12635.0664,26533.63944,151620.7968
Chit Arena,13901,3.38,10.14,22.54,2193.29978,12533.1416,26319.59736,150397.6992
Soa Cheats,7206,7,26.28,43.38,2188.17396,12503.8512,26258.08752,150046.2144
dr-cheats,12174,5,15,25,2130.45,12174,25565.4,146088
Vortex Cheats,6068,,29.99,49.99,2123.37524,12133.5728,25480.50288,145602.8736
Baunti Cheats ,14355,,,20,2009.7,11484,24116.4,137808
escapefromtarkov.shop,8241,4.47,17.88,33.52,1933.66824,11049.5328,23204.01888,132594.3936
nyrexscript,10102,3,,25,1767.85,10102,21214.2,121224
pentascripts,5000,10,,50,1750,10000,21000,120000
LoLScript.gg,5608,10.97,,42.78,1679.37168,9596.4096,20152.46016,115156.9152
Hypex ** ,8651,,,27.38,1658.05066,9474.5752,19896.60792,113694.9024
Aimex  ,6087,,18,35,1491.315,8521.8,17895.78,102261.6
Interium,28349,,,6.99,1387.11657,7926.3804,16645.39884,95116.5648
Hex UI ,16275,,,10.95,1247.47875,7128.45,14969.745,85541.4
Fatality,11048,,,15,1160.04,6628.8,13920.48,79545.6
Nixware,36194,,,4.51,1142.64458,6529.3976,13711.73496,78352.7712
Baimless,8334,3.5,8,14,816.732,4667.04,9800.784,56004.48
novamacro,7128,2,5,15,748.44,4276.8,8981.28,51321.6
up-game.pro,9395,,,11.3,743.1445,4246.54,8917.734,50958.48
Blacksector Solutions,5566,,,13.14,511.96068,2925.4896,6143.52816,35105.8752
TOTALS,,,,,1074482.144,6139897.963,12893785.72,73678775.56
